Data_Year,ID,Name,Address,ZIP Code,Community Area,Primary Property Type,SqFt,Year_Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site_EUI_kBtu_sqft,Source EUI (kBtu/sq ft),Weather_Normalized_Site_EUI_kBtu_sqft,Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2016,117248,Alpha Tower Apartments,936 E. 47th Street,60653,KENWOOD,Multifamily Housing,136957,1983,1,5,4750636.8,12542561.2,,,,126.3,205.1,137.3,215.3,1541.8,11.3,41.82021138,-87.61246867,"(41.82021138, -87.61246867)"
2017,101686,Harlem-Foster Shopping Center,7240 West Foster Avenue,60656,NORWOOD PARK,Strip Mall,273613,1958,30,,19003257,15485825,,,,126.1,277.5,131.7,283.7,4336.1,15.8,41.974578,-87.808091,"(41.974578, -87.808091)"
2016,160184,29 E. Madison LLC,29 E. Madison,60602,LOOP,Office,240076,1904,1,52,15872170.2,14391831.3,,,,126.1,270.5,133.3,276.3,3690,15.4,41.88182922,-87.6266992,"(41.88182922, -87.6266992)"
2017,251958,Advocate Trinity - POB,2301 2315 East 93rd Street,60617,CALUMET HEIGHTS,Medical Office,51497,1971,1,8,5713687,773065,,,,126,364.2,133.8,388.8,1097.5,21.3,41.7260348,-87.56740315,"(41.7260348, -87.56740315)"
2015,260042,McClurg Court Center,333 E Ontario Street,60611,NEAR NORTH SIDE,Multifamily Housing,818201,1971,1,7,31457279,71614068,,,,126,212.6,131.2,218.1,10124,12.4,41.89322808,-87.61866416,"(41.89322808, -87.61866416)"
2014,101755,Harris Bank Building,115 S. LaSalle Street,60603,LOOP,Office,1526102,1974,1,53,96188340,96243598,,,,126,264,123,261,24437,16.01,41.88031326,-87.63191186,"(41.88031326, -87.63191186)"
2014,103647,135 S LaSalle Property LLC,135 S. LaSalle Street,60603,LOOP,Office,1547120,1934,1,68,74409271,93728074,,27209940,,126,232,122,228,21362,13.81,41.87977276,-87.63155683,"(41.87977276, -87.63155683)"
2015,251331,Munroe Hall,2312 N. Clifton,60614,LINCOLN PARK,College/University,81951,1970,1,,4641729,5680756,,,,126,250.6,130.1,253,1234,15.1,41.92394692,-87.65759559,"(41.92394692, -87.65759559)"
2014,101972,150 North Wacker Drive,150 North Wacker Drive,60606,LOOP,Office,265117,1970,1,73,11708148,21696000,,,,126,225,120,218,3505,13.22,41.88476971,-87.63734502,"(41.88476971, -87.63734502)"
2017,113933,Cranston Condo,6929-39 S. Cranston,60649,SOUTH SHORE,Multifamily Housing,111239,1927,1,30,915395,13080474,,,,125.8,149.3,137.8,161.8,864,7.8,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
2017,241989,30 East Elm Condominium Association,30 E Elm St,60611,NEAR NORTH SIDE,Multifamily Housing,102100,1958,1,19,2396049,10439800,,,,125.7,181.1,135.6,192.1,997.5,9.8,41.90322796,-87.62742084,"(41.90322796, -87.62742084)"
2016,251268,(IL644) - 860 Lake Shore Drive Trust,860-880 Lake Shore Drive,60611,NEAR NORTH SIDE,Multifamily Housing,341022,1949,2,10,8322205.8,34528079.9,,,,125.7,182.9,125.7,182.9,3367.9,9.9,41.89867711,-87.61881403,"(41.89867711, -87.61881403)"
2016,159745,Clarendon Court Apartments,4500 N Clarendon Ave,60640,UPTOWN,Multifamily Housing,105850,1980,1,20,3066743.1,10241892.3,,,,125.7,192.6,135.2,200.4,1109.3,10.5,41.96394063,-87.65039391,"(41.96394063, -87.65039391)"
2016,116662,Lake Meadows 2,533 E 33rd Place,60616,DOUGLAS,Multifamily Housing,107500,1952,1,43,972996.6,12537468.8,,,,125.7,150.9,137.9,162.8,845.3,7.9,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2015,136887,3594,5050 S Kedzie Ave,60632,GAGE PARK,Retail Store,118816,1982,1,46,6089263,8831200,,,,125.6,239,131.4,244,1693,14.2,41.80188308,-87.70454381,"(41.80188308, -87.70454381)"
2015,243692,5445 Edgewater Plaza Condo Association,5445 N. Sheridan Rd.,60640,EDGEWATER,Multifamily Housing,425474,1971,1,17,11370142,42060488,,,,125.6,187.7,131.4,193.8,4518,10.6,41.98108553,-87.65453412,"(41.98108553, -87.65453412)"
2017,103684,NMH Arkes Family Pavilion,676 N St. Clair St,60611,NEAR NORTH SIDE,Medical Office,675000,1980,1,57,84469178,240000,,,,125.5,393.3,127.4,399.2,15630.7,23.2,41.894419,-87.622789,"(41.894419, -87.622789)"
2017,254571,Centrum Wicker Park,1664 W Division Street,60622,West Town,Multifamily Housing,68150,2016,1,8,1648354,6897387,,,,125.4,174,125.4,174,640.6,9.4,41.90327181,-87.67473022,"(41.90327181, -87.67473022)"
2017,150992,4101-4113 N Kedzie Ave: 4113 North Kedzie Avenue,4113 North Kedzie Avenue,60618,IRVING PARK,Multifamily Housing,53252,1929,1,8,448265,6224947,,,,125.3,149.2,125.3,149.2,413.5,7.8,41.94672055,-87.70319673,"(41.94672055, -87.70319673)"
2016,251576,Henry Elemen-CPS,4250 N St Louis Ave,60618,IRVING PARK,K-12 School,90100,1904,1,19,1175893.3,10109200.4,,,,125.3,158.8,138.5,173.2,753.7,8.4,41.95872281,-87.71583845,"(41.95872281, -87.71583845)"
2016,172610,"Riverpoint Owner, LLC",1730 W Fullerton Ave,60654,LINCOLN PARK,Other,202142,1988,3,,20882920.8,4447699.8,,,,125.3,347.5,126.3,348.6,4085.4,20.2,41.92636623,-87.67278255,"(41.92636623, -87.67278255)"
2016,135103,6 West Hubbard,6 West Hubbard,60654,NEAR NORTH SIDE,Office,66030,1988,1,17,6449406.8,1824529.6,,,,125.3,335.7,123.5,332.1,1285.7,19.5,41.89009837,-87.62836025,"(41.89009837, -87.62836025)"
2017,251771,1333 North Kingsbury,1333 North Kingsbury,60642,NEAR NORTH SIDE,Office,104711,1961,1,51,5780952,7332428,,,,125.2,246.9,125.6,248.2,1458.3,13.9,41.9060185,-87.64946369,"(41.9060185, -87.64946369)"
2015,100533,Englewood Ac-CPS,6201 S Stewart Ave,60621,ENGLEWOOD,K-12 School,188800,1979,1,7,9625979,14013171,,,,125.2,238,130.6,243.7,2678,14.2,41.78205573,-87.63426731,"(41.78205573, -87.63426731)"
2015,134533,645 North Michigan,645 North Michigan Avenue,60611,NEAR NORTH SIDE,Office,215871,1962,1,44,14945628,12090500,,,,125.2,276.2,128.4,278.6,3645,16.9,41.89392128,-87.6241737,"(41.89392128, -87.6241737)"
2016,116749,East Park Apartments,3300 W Maypole Ave,60624,EAST GARFIELD PARK,Multifamily Housing,63002,1995,1,31,3006030.3,4866964,,,,125,230.9,131.8,235.2,812.6,12.9,41.8808242,-87.72327934,"(41.8808242, -87.72327934)"
2017,102125,Northwestern Medicine 259 East Erie,259 East Erie,60611,NEAR NORTH SIDE,Medical Office,729492,2014,1,41,47558094,43546139,,,,124.9,267.4,127.3,270,11106.2,15.2,41.89404425,-87.62041608,"(41.89404425, -87.62041608)"
2017,159893,PNC ARHPF Island Terrrace Apt.,6430 S. Stony island,60637,WOODLAWN,Multifamily Housing,200000,1969,1,45,2261801,22726728,,,,124.9,151,135.3,161.9,1583.4,7.9,41.77784551,-87.58640642,"(41.77784551, -87.58640642)"
2015,172610,"Riverpoint Owner, LLC",1730 W Fullerton Ave,60654,LINCOLN PARK,Other,202142,1988,3,,20840776,4381700,,,,124.8,346.5,124.8,346.5,4420,21.9,41.92636623,-87.67278255,"(41.92636623, -87.67278255)"
2016,100448,Hilton Chicago MM Suites,198 East Delaware Place,60611,NEAR NORTH SIDE,Hotel,314850,1989,1,54,16093148.4,23188579.9,,,,124.8,237.8,127.4,237,4198,13.3,41.89956332,-87.62215183,"(41.89956332, -87.62215183)"
2016,124961,2779 Milwaukee LLC,3335 W. Diversey,60647,LOGAN SQUARE,Multifamily Housing,50000,1920,1,31,1259836.6,4977946.9,,,,124.8,183.7,,,496.6,9.9,41.92075046,-87.70152825,"(41.92075046, -87.70152825)"
2017,100856,United Center,1901 West Madison St.,60612,NEAR WEST SIDE,Indoor Arena,960000,1994,2,,111594203,8070756,,,,124.7,373.8,125.2,374.4,21061.9,21.9,41.88067672,-87.67418207,"(41.88067672, -87.67418207)"
2016,254167,Simpson Living Learning Center-ID# 254167,6333 N Winthrop Ave,60626,Edgewater,Residence Hall/Dormitory,117481,2000,1,,6788593.7,7866600.3,,,,124.7,251.8,131.2,256.9,1669.1,14.2,41.99740324,-87.65829455,"(41.99740324, -87.65829455)"
2016,101954,Garland Building,111 N. Wabash Avenue,60602,LOOP,Office,259000,1914,1,46,17614160,14691000,,,,124.7,273.1,124.4,270,4027,15.5,41.88357029,-87.62621336,"(41.88357029, -87.62621336)"
2017,254167,Simpson Living Learning Center-ID# 254167,6333 N Winthrop Ave,60626,Edgewater,Residence Hall/Dormitory,117481,2000,1,,6642720,7997874,,,,124.6,249,132.7,256.3,1653,14.1,41.99740324,-87.65829455,"(41.99740324, -87.65829455)"
2017,126258,Belmont and Central,5630 W. Belmont,60634,PORTAGE PARK,Supermarket/Grocery Store,93857,1949,6,,6897798,4793278,,,,124.6,284.4,128.1,287,1530,16.3,41.93891623,-87.7680804,"(41.93891623, -87.7680804)"
2017,251268,(IL644) - 860 Lake Shore Drive Trust,860-880 Lake Shore Drive,60611,NEAR NORTH SIDE,Multifamily Housing,341022,1949,2,9,7615676,34859478,,,,124.6,177.5,136,189.2,3259.7,9.6,41.89867711,-87.61881403,"(41.89867711, -87.61881403)"
2017,252044,Law/ Social Service Admin/ Faculty Housing,1111 East 60th Street,60637,WOODLAWN,College/University,332861,1959,4,,13528297,58000,20597693,7302564,,124.6,224.2,128.3,228.9,4256.9,12.8,41.7850873,-87.59905769,"(41.7850873, -87.59905769)"
2016,252048,Levi Hall,5801 S. Ellis Avenue,60637,HYDE PARK,Office,90125,1949,1,55,3095278.7,,6733778.4,1399200,,124.6,213.3,129.4,219.3,1091.4,12.1,41.78958202,-87.60092774,"(41.78958202, -87.60092774)"
2017,157993,The Fisher Building,343 S Dearborn St,60604,LOOP,Multifamily Housing,167940,1896,1,2,7577404,13328588,,,,124.5,225,134.2,234.1,2109,12.6,41.87698814,-87.62918889,"(41.87698814, -87.62918889)"
2017,251301,Lincoln Park Tower Condominium Association,1960 N Lincoln Park West,60614,LINCOLN PARK,Multifamily Housing,333031,1967,1,15,7989672,33370397,,,,124.2,180.5,134,191.3,3249.7,9.8,41.91805785,-87.63701176,"(41.91805785, -87.63701176)"
2015,231205,Cornell Village,5201 South Cornell Ave,60615,HYDE PARK,Multifamily Housing,289148,1969,1,19,5495446,30410010,,,,124.2,170.1,125.4,171.4,2719,9.4,41.80086685,-87.58562562,"(41.80086685, -87.58562562)"
2015,250017,Humboldt Park,1440 North Sacramento,60622,NORTH LAWNDALE,Other - Recreation,57229,1928,1,,2506746,4593224,,,,124.1,221.8,130.6,228.7,748,13.1,41.906756,-87.701357,"(41.906756, -87.701357)"
2016,251958,Advocate Trinity - POB,2301 2315 East 93rd Street,60617,CALUMET HEIGHTS,Medical Office,51497,1971,1,15,5466563.1,914323.6,,,,123.9,352,132.8,378.1,1056.2,20.5,41.7260348,-87.56740315,"(41.7260348, -87.56740315)"
2015,100438,Palmolive Building Condominium Association,913 921 N Michigan Ave.,60611,NEAR NORTH SIDE,Multifamily Housing,397200,1929,1,11,23777628,25406334,,,,123.8,255.1,126,257.4,6127,15.4,41.899795,-87.624109,"(41.899795, -87.624109)"
2016,251301,Lincoln Park Tower Condominium Association,1960 N Lincoln Park West,60614,LINCOLN PARK,Multifamily Housing,333031,1967,1,17,8600625,32636128.1,,,,123.8,184,135.6,194.1,3318.7,10,41.91805785,-87.63701176,"(41.91805785, -87.63701176)"
2015,101686,Harlem-Foster Shopping Center,7240 West Foster Avenue,60656,NORWOOD PARK,Strip Mall,273613,1958,30,,18203515,15646196,,,,123.7,268.9,124.6,269.5,4488,16.4,41.974578,-87.808091,"(41.974578, -87.808091)"
2017,116662,Lake Meadows 2,533 E 33rd Place,60616,DOUGLAS,Multifamily Housing,107500,1952,1,42,849711,12451832,,,,123.7,146.4,133.5,156.6,818.5,7.6,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2017,121264,Chicago Theological Seminary,1407 East 60th Street,60637,WOODLAWN,College/University,80489,2011,1,,2647058,,4444653,2862000,,123.7,205.3,123.9,205.8,935.4,11.6,41.786046,-87.591237,"(41.786046, -87.591237)"
2017,173723,1260 Astor Street Building Corporation,1260 N Astor St,60610,NEAR NORTH SIDE,Multifamily Housing,80260,1931,1,,1629436,8293158,,,,123.6,172.2,135.8,185.5,741.8,9.2,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
2017,124236,830 North Michigan,830 N Michigan,60611,NEAR NORTH SIDE,Enclosed Mall,126000,1966,1,,15577128,,,,,123.6,388.2,122.7,385.2,2880.1,22.9,41.89783892,-87.62465018,"(41.89783892, -87.62465018)"
2016,116715,The Studios,1801 South Wabash Avenue,60616,NEAR SOUTH SIDE,Multifamily Housing,59094,1995,1,45,2956850.1,4346700,,,,123.6,234.3,122,229.4,775.9,13.1,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2016,101686,Harlem-Foster Shopping Center,7240 West Foster Avenue,60656,NORWOOD PARK,Strip Mall,273613,1958,30,,19081650.9,14738729.7,,,,123.6,275.5,126.8,277.5,4300,15.7,41.974578,-87.808091,"(41.974578, -87.808091)"
2016,138605,"Kennedy Plaza BK, L.L.C.",3300 W. Belmont Avenue,60618,AVONDALE,Strip Mall,77385,1977,1,,4916992.3,4643099.8,,,,123.5,262.5,123.5,262.5,1152.9,14.9,41.939347,-87.710159,"(41.939347, -87.710159)"
2016,100148,7144 S Jeffery Blvd,7144 S Jeffery Blvd,60649,SOUTH SHORE,Multifamily Housing,56412,1932,1,38,952654.3,6014842.5,,,,123.5,165,136.2,179.6,495.1,8.8,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
2015,251368,WashingtonHS-CPS,3535 E 114TH ST,60617,EAST SIDE,K-12 School,219291,1956,1,19,10629581,16435918,,,,123.4,230.9,133.8,245.2,3009,13.7,41.68716583,-87.53818618,"(41.68716583, -87.53818618)"
2016,159807,Sheridan Tower,5650 N. Sheridan Rd.,60680,EDGEWATER,Multifamily Housing,129764,1968,1,26,2994081.2,13010600,,,,123.3,177.7,135,186.6,1242.9,9.6,41.98449002,-87.65573421,"(41.98449002, -87.65573421)"
2017,172784,Lake Meadows 1,555 E 33rd Place,60616,DOUGLAS,Multifamily Housing,107500,1952,1,42,857610,12391002,,,,123.2,146.1,132.8,156.2,816.7,7.6,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2015,121355,MERCEDES BENZ OF CHICAGO,1520 W NORTH AVE,60642,WEST TOWN,Automobile Dealership,46620,2010,1,,5553938,183641,,,,123.1,378.2,123.5,378.7,1126,24.1,41.91068845,-87.66598208,"(41.91068845, -87.66598208)"
2014,250051,Simeon Caree-CPS,8235 S VINCENNES AVE,60620,CHATHAM,K-12 School,284691,2003,1,19,13609687,21476024,,,,123,229,117,222,3875,13.61,41.744236,-87.635863,"(41.744236, -87.635863)"
2017,106103,4180 Polo Tower CA,4180 N. Marine Drive,60613,UPTOWN,Multifamily Housing,109301,1951,1,43,2636695,10807474,,,,123,179.6,132.1,189.1,1061.5,9.7,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2017,175581,Museum of Broadcast Communications,360 North State Street,60654,NEAR NORTH SIDE,Museum,72000,2015,1,,3697670,5160200,,,,123,236.5,126.6,240.3,957.8,13.3,41.88897886,-87.62803747,"(41.88897886, -87.62803747)"
2017,251716,Pullman Elem-CPS,11311 S FORRESTVILLE AVE,60628,PULLMAN,K-12 School,80075,1909,1,21,1523379,8326280,,,,123,168.9,139.7,186.5,723.9,9,41.68869044,-87.60883165,"(41.68869044, -87.60883165)"
2014,101856,111 West Jackson,111 West Jackson Blvd,60604-3589,LOOP,Office,620454,1962,1,76,27102604,36050637,,13035197,,123,219,116,212,8047,12.97,41.87784862,-87.63130907,"(41.87784862, -87.63130907)"
2017,260184,Hampden Green Condominium Association,2728 N Hampden Court,60614,LINCOLN PARK,Multifamily Housing,140000,1970,1,28,3351635,13849600,,,,122.9,179,125.3,181.6,1355.3,9.7,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
2016,165269,"The Selfhelp Home, Inc.",908 W. Argyle St,60640,UPTOWN,Multifamily Housing,147129,1962,1,1,12877570.4,5210599.8,,,,122.9,312,126.6,318.6,2650.4,18,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
2015,250120,Schwab,1401 South California Avenue,60608,North Lawndale,Hospital (General Medical & Surgical),177370,2013,1,99,10798601,10993759,,,,122.9,256.2,126.5,258.5,2754,15.5,41.86251415,-87.69575915,"(41.86251415, -87.69575915)"
2015,160219,dana hotel and spa,660 N State St.,60654,NEAR NORTH SIDE,Hotel,165000,2008,1,36,9732300,10527633,,,,122.8,252.2,124.7,255.1,2515,15.2,41.894246,-87.628161,"(41.894246, -87.628161)"
2017,158095,O'Hare Plaza II,8755 W. Higgins Road,60631,OHARE,Office,256010,1969,1,81,13628265,,,17791010,,122.7,236.6,124.9,243.6,3457.4,13.5,41.98655423,-87.84550445,"(41.98655423, -87.84550445)"
2017,260034,Algonquin #5,1617 E. 50th Street,60615,KENWOOD,Multifamily Housing,59310,1950,1,18,1180555,6089274,,,,122.6,170.3,132.5,181.2,541.7,9.1,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2015,158083,Renaissance Ohare,8500 west bryn mawr ave,60631,OHARE,Hotel,314254,2003,1,40,17008104,21503597,,,,122.5,241.8,123,241.5,4559,14.5,41.98244678,-87.84101094,"(41.98244678, -87.84101094)"
2015,160151,Clargran,501-515 N. Clark St.,60654,NEAR NORTH SIDE,Hotel,343240,2013,1,42,18067639,23918101,,,,122.3,238.5,123.7,238.3,4900,14.3,41.891372,-87.631065,"(41.891372, -87.631065)"
2017,160184,29 E. Madison LLC,29 E. Madison,60602,LOOP,Office,240076,1904,1,54,15324237,14023012,,,,122.2,261.8,129.4,269.3,3578.2,14.9,41.88182922,-87.6266992,"(41.88182922, -87.6266992)"
2015,250061,WOODSON REGIONAL LIBRARY,9525 S. Halsted St.,60628,WASHINGTON HEIGHTS,Library,65000,1970,1,,5686896,2253165,,,,122.2,311.1,124.3,312.4,1262,19.4,41.7210264,-87.64309367,"(41.7210264, -87.64309367)"
2017,100438,Palmolive Building Condominium Association,913 921 N Michigan Ave.,60611,NEAR NORTH SIDE,Multifamily Housing,397200,1929,1,12,22432505,26070743,,,,122.1,246.3,125.6,249.9,5532.4,13.9,41.899795,-87.624109,"(41.899795, -87.624109)"
2015,250060,Garfield Center,10 S. Kedzie Ave.,60612,EAST GARFIELD PARK,Other - Recreation,62660,1970,1,,4929432,2719440,,,,122.1,292.6,125.2,295,1135,18.1,41.8807941,-87.70613942,"(41.8807941, -87.70613942)"
2016,251239,York Terrace Apartments,2701 S Indiana Ave,60616,DOUGLAS,Multifamily Housing,154447,1969,1,12,4974600.5,13879317.4,,,,122.1,195.5,120.7,191.3,1654.1,10.7,41.84458973,-87.62200981,"(41.84458973, -87.62200981)"
2015,159999,Lake Terrace Condominium Association,7337 S. South Shore,60649,SOUTH SHORE,Multifamily Housing,273143,1958,1,33,6061742,27276415,,,,122.1,174.5,121.7,173.4,2667,9.8,41.76342231,-87.55825319,"(41.76342231, -87.55825319)"
2017,101840,8602,710 Lake Shore Dr,60611,NEAR NORTH SIDE,College/University,236060,1939,1,,6476184,22314556,,,,122,185.4,129.7,193,2382.6,10.1,41.89534174,-87.61664801,"(41.89534174, -87.61664801)"
2017,100637,Addison Towers,510-534 Addison,60616,LAKE VIEW,Multifamily Housing,68667,1920,1,9,1647745,6731400,,,,122,178.3,131.9,188.6,662.2,9.6,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2017,101703,Algonquin #2,1606 E. 50th Street,60615,KENWOOD,Multifamily Housing,59310,1950,1,31,730113,6503291,,,,122,153.8,132.2,164.8,480.4,8.1,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2017,251490,Dulles-CPS,6311 S Calumet Ave,60637,GREATER GRAND CROSSING,K-12 School,70786,1962,1,24,1762016,6872728,,,,122,180.1,138.3,197.3,690.8,9.8,41.77996587,-87.61673927,"(41.77996587, -87.61673927)"
2016,103264,South Commons - 2941 S Michigan,2941 S Michigan Ave,60616,DOUGLAS,Multifamily Housing,67133,1964,1,26,1248826.1,6940274.2,,,,122,167,135.7,181.3,598.8,8.9,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2016,242586,The Pearson,250 East Pearson St,60611,NEAR NORTH SIDE,Multifamily Housing,301184,2003,1,1,18851156.7,17891946.1,,,,122,258.9,129.4,270.9,4425,14.7,41.89789468,-87.61880577,"(41.89789468, -87.61880577)"
2016,254061,6700 Crandon Condominium Association,6700 S. Crandon,60649,South Shore,Multifamily Housing,82000,1928,1,47,1058907.4,8937307.3,,,,121.9,155,134.2,167.9,669.9,8.2,41.7626302,-87.57255,"(41.7626302, -87.57255)"
2016,250060,Garfield Center,10 S. Kedzie Ave.,60612,EAST GARFIELD PARK,Other - Recreation,62660,1971,1,,5120064.3,2515752.9,,,,121.9,298.7,125.8,297.3,1077.4,17.2,41.8807941,-87.70613942,"(41.8807941, -87.70613942)"
2015,172114,Latin School of Chicago Upper School,59 W. North BLVD,60610,NEAR NORTH SIDE,K-12 School,151751,1969,1,8,6897822,11602700,,,,121.9,223,123.5,224.7,2002,13.2,41.91076436,-87.63123869,"(41.91076436, -87.63123869)"
2017,159419,"Fifth Praire Shores, LLC",2801 S King Drive,60616,DOUGLAS,Multifamily Housing,289267,1960,1,30,4286363,30958530,,,,121.8,158.9,132.1,169.5,2436.9,8.4,41.84364282,-87.61673336,"(41.84364282, -87.61673336)"
2015,252047,Saieh Hall for Economics,5757 South University Avenue,60637,HYDE PARK,College/University,153115,2013,1,,4386256,,9211865,5040720,,121.7,195.3,122.5,196.4,1759,11.5,41.790347,-87.597997,"(41.790347, -87.597997)"
2017,251715,National Tea-CPS,55 W Cermak Rd,60616,NEAR SOUTH SIDE,K-12 School,156400,2002,1,9,8742595,10295088,,,,121.7,244.6,128.2,250.5,2163.3,13.8,41.85190289,-87.6287597,"(41.85190289, -87.6287597)"
2016,172784,Lake Meadows 1,555 E 33rd Place,60616,DOUGLAS,Multifamily Housing,107500,1952,1,48,916319.9,12167538.8,,,,121.7,145.6,133.7,157.4,815.2,7.6,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2015,158295,congress plaza hotel,520 s. michigan ave.,60605,LOOP,Hotel,600700,1873,1,60,17448855,55580703,,,,121.6,188.4,125.2,191,6458,10.8,41.8914831,-87.62495815,"(41.8914831, -87.62495815)"
2016,172788,Lake Meadows 4,3440 S Cottage Grove,60616,DOUGLAS,Multifamily Housing,107500,1952,1,48,913498.2,12160665.3,,,,121.6,145.5,134.2,158.7,814.3,7.6,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2016,135134,The Boyce Building,500-510 N. Dearborn St.,60654,NEAR NORTH SIDE,Office,149011,1912,1,66,6367522.2,11739400.1,,,,121.5,216.9,128.9,223.1,1797.2,12.1,41.89086835,-87.62991329,"(41.89086835, -87.62991329)"
2015,252023,CICS Longwood,1309 W. 95th St.,60643,WASHINGTON HEIGHTS,K-12 School,165520,1952,5,55,2001974,18099737,,,,121.4,152.8,130.2,162,1364,8.2,41.721234,-87.655052,"(41.721234, -87.655052)"
2016,243692,5445 Edgewater Plaza Condominium Association,5445 N. Sheridan Rd.,60640,EDGEWATER,Multifamily Housing,425474,1971,1,23,10983623.8,40649874,,,,121.4,181.4,133.2,193.9,4183.6,9.8,41.98108553,-87.65453412,"(41.98108553, -87.65453412)"
2015,101954,Garland Building,111 N. Wabash Avenue,60602,LOOP,Office,259000,1914,1,49,16718367,14728558,,,,121.4,262.4,125.3,265.3,4141,16,41.88357029,-87.62621336,"(41.88357029, -87.62621336)"
2017,243692,5445 Edgewater Plaza Condominium Association,5445 N. Sheridan Rd.,60640,EDGEWATER,Multifamily Housing,425474,1971,1,18,11209990,40403332,,,,121.3,182.4,130.3,191.9,4218.7,9.9,41.98108553,-87.65453412,"(41.98108553, -87.65453412)"
2016,251904,CICS ChicagoQuest,1443 N Ogden Ave.,60610,NEAR NORTH SIDE,K-12 School,102500,1971,2,1,9933393.1,2497626.8,,,,121.3,329.9,123.8,332,1963.6,19.2,41.90661513,-87.64566449,"(41.90661513, -87.64566449)"
2015,251301,Lincoln Park Tower Condominium Association,1960 N Lincoln Park West,60614,LINCOLN PARK,Multifamily Housing,333031,1967,1,18,8089333,32313485,,,,121.3,178.2,127.6,184.8,3342,10,41.91805785,-87.63701176,"(41.91805785, -87.63701176)"
2017,172670,6560 W Fullerton at Bricktown Square,6560 W Fullerton Ave,60707,BELMONT CRAGIN,Strip Mall,116579,1987,1,,8125593,6002100,,,,121.2,272.9,125.5,277.4,1821.2,15.6,41.92368914,-87.78882768,"(41.92368914, -87.78882768)"
2017,103638,The Field Museum,1400 South Lake Shore Drive,60605,NEAR SOUTH SIDE,Mixed Use Property,1300557,1921,1,,70703372,86972188,,,,121.2,240.5,124.3,243.1,17649.9,13.6,41.866211,-87.61703464,"(41.866211, -87.61703464)"
2016,160029,265-Senior Suites of Chatham,8300 S. Cottage Grove,60619,CHATHAM,Senior Care Community,76387,2014,1,3,2385868.3,6871200.1,,,,121.2,192.5,119.2,186.4,804.7,10.5,41.74370995,-87.60547545,"(41.74370995, -87.60547545)"
2016,101737,100 North Riverside Plaza,100 N Riverside Plaza,60606,NEAR WEST SIDE,Office,822563,1990,1,86,99103689.6,493809.3,,,84377.7,121.2,379,123.3,385.6,18299.4,22.2,41.88384565,-87.63878625,"(41.88384565, -87.63878625)"
2017,251685,Johnson College Prep,6350 S Stewart St,60621,ENGLEWOOD,K-12 School,63816,1963,1,59,2292666,5426778,,,,121,202.1,130.3,212,712.1,11.2,41.77833596,-87.63556329,"(41.77833596, -87.63556329)"
2015,160186,Crowne Plaza Chicago Metro,733 W Madison St,60661,NEAR WEST SIDE,Hotel,244429,1965,1,35,12681541,16893566,,,,121,235.5,122.4,236.9,3445,14.1,41.88176792,-87.6467544,"(41.88176792, -87.6467544)"
2014,102455,Harper Center (Booth School),5807 South Woodlawn Ave.,60637,HYDE PARK,College/University,419312,2004,1,,25532624,885000,24287151,,,121,263,118,260,6790,16.19,41.7891404,-87.59555249,"(41.7891404, -87.59555249)"
2014,101961,Inland Steel Building,30 West Monroe,60603,LOOP,Office,300971,1958,1,68,13328456,22966478,,,,121,219,114,212,3898,12.95,41.88108964,-87.62858918,"(41.88108964, -87.62858918)"
2016,159419,"Fifth Praire Shores, LLC",2801 S King Drive,60616,DOUGLAS,Multifamily Housing,289267,1960,1,34,4673958.9,30295837.7,,,,120.9,160.7,133.6,172.8,2470.7,8.5,41.84364282,-87.61673336,"(41.84364282, -87.61673336)"
2015,241042,100 E Walton CA,100 E Walton Street,60611,NEAR NORTH SIDE,Multifamily Housing,332982,1972,1,22,12352798,27892301,,,,120.9,204.4,125.7,208.7,3963,11.9,41.90023254,-87.62510666,"(41.90023254, -87.62510666)"
2017,114861,The Narragansett,1640 E. 50th,60615,KENWOOD,Multifamily Housing,127096,1930,1,6,3216379,12130526,,,,120.8,179.7,131,190.4,1239,9.7,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
